Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,680780,-,-,-,33.21,-97.14,-6,203,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,1,0,0,0,0,1.768117428,-1.061254883,168.0643012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,1,30,0,0,0,1.783308029,-1.11270752,163.687122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,2,0,0,0,0,1.798498631,-1.164129639,158.1778741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,2,30,0,0,0,1.840504646,-1.331365967,152.2167272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,3,0,0,0,0,1.882510543,-1.498602295,146.0588798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,3,30,0,0,0,1.884198189,-1.620245361,139.815276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,4,0,0,0,0,1.885885715,-1.741888428,133.5437224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,4,30,0,0,0,1.862238884,-1.802801514,127.2802515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,5,0,0,0,0,1.838592172,-1.863745117,121.0515433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,5,30,0,0,0,1.801776886,-1.920812988,114.8806298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,6,0,0,0,0,1.7649616,-1.977850342,108.7899757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,6,30,0,0,0,1.728955626,-1.963079834,102.8034886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,7,0,0,0,0,1.692949653,-1.948309326,96.94812071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,7,30,0,0,0,1.623227954,-1.309667969,91.25537872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,8,0,49,26,313,1.553506255,-0.671057129,85.76113039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,8,30,139,52,529,1.35868752,0.621392822,80.51523445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,9,0,235,65,682,1.163868785,1.913842773,75.56953368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,9,30,327,74,775,1.053706408,3.519158936,70.9906326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,10,0,314,129,472,0.94354409,5.124505615,66.85690149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,10,30,482,87,879,0.874948382,6.037408447,63.25811477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,11,0,453,118,676,0.806352735,6.950341797,60.29213028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,11,30,584,93,926,0.781645417,7.59597168,58.05756651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,12,0,610,95,937,0.756938159,8.241601563,56.64217181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,12,30,620,96,941,0.790861905,8.646936035,56.10865468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,13,0,613,95,938,0.82478565,9.052270508,56.48226252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,13,30,589,93,929,0.919879198,9.122003174,57.74522868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,14,0,549,91,913,1.014972687,9.191705322,59.84071371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,14,30,494,87,888,1.133059144,8.809564209,62.68435698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,15,0,425,81,853,1.251145601,8.427423096,66.17850867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,15,30,345,73,804,1.365598679,7.407312012,70.22451464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,16,0,225,52,655,1.480051756,6.387231445,74.73082323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,16,30,144,57,479,1.719272852,5.223779297,79.61694066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,17,0,71,71,0,1.958493829,4.060296631,84.8142592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,17,30,0,0,0,2.249255657,3.6206604,90.26339491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,18,0,0,0,0,2.540017605,3.18102417,95.92888549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,18,30,0,0,0,2.769035578,2.838555908,101.7580234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,19,0,0,0,0,2.998053551,2.496087646,107.723408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,19,30,0,0,0,3.174183607,2.222009277,113.7973477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,20,0,0,0,0,3.350313663,1.947930908,119.9554435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,20,30,0,0,0,3.509306192,1.72121582,126.1750087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,21,0,0,0,0,3.668298721,1.494500732,132.4331442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,21,30,0,0,0,3.770308018,1.30223999,138.7038835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,22,0,0,0,0,3.872317314,1.10994873,144.9530614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,22,30,0,0,0,3.957505941,0.946374512,151.1274391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,23,0,0,0,0,4.042694569,0.782800293,157.1279828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,23,30,0,0,0,4.130735397,0.647149658,162.734282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,0,0,0,0,0,4.218776226,0.511468506,167.3722396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,0,30,0,0,0,4.239879131,0.365075684,169.6201677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,1,0,0,0,0,4.260982037,0.218682861,168.0354571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,1,30,0,0,0,4.21519804,0.061975098,163.7040811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,2,0,0,0,0,4.169414043,-0.094763184,158.2172162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,2,30,0,0,0,4.147592545,-0.217474365,152.2669889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,3,0,0,0,0,4.125771046,-0.340216064,146.1144396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,3,30,0,0,0,4.129907608,-0.423956299,139.8730397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
